tweet_id,favorite_count,retweet_count,source,retweeted_status,url
892420643555336193,36949,7877,Twitter for iPhone,Original tweet,https://t.co/MgUWQ76dJU
892177421306343426,31793,5848,Twitter for iPhone,Original tweet,https://t.co/aQFSeaCu9L
891815181378084864,23954,3862,Twitter for iPhone,Original tweet,https://t.co/r0YlrsGCgy
891689557279858688,40281,8047,Twitter for iPhone,Original tweet,https://t.co/tD36da7qLQ
891327558926688256,38485,8708,Twitter for iPhone,Original tweet,https://t.co/0g0KMIVXZ3
891087950875897856,19350,2899,Twitter for iPhone,Original tweet,https://t.co/xx5cilW0Dd
890971913173991426,11279,1915,Twitter for iPhone,Original tweet,https://t.co/MV01Q820LT
890729181411237888,62319,17591,Twitter for iPhone,Original tweet,https://t.co/hrcFOGi12V
890609185150312448,26625,3995,Twitter for iPhone,Original tweet,https://t.co/UkrdQyoYxV
890240255349198849,30479,6848,Twitter for iPhone,Original tweet,https://t.co/l3TSS3o2M0
890006608113172480,29353,6831,Twitter for iPhone,Original tweet,https://t.co/jy2alqaYPH
889880896479866881,26631,4647,Twitter for iPhone,Original tweet,https://t.co/u1XPQMl29g
889665388333682689,45933,9340,Twitter for iPhone,Original tweet,https://t.co/BxvuXk0UCm
889638837579907072,25882,4195,Twitter for iPhone,Original tweet,https://t.co/f8dEDcrKSR
889531135344209921,14461,2105,Twitter for iPhone,Original tweet,https://t.co/Ya3bdfYuCx
889278841981685760,24077,4983,Twitter for iPhone,Original tweet,https://t.co/qw5xRwBaIv
888917238123831296,27825,4199,Twitter for iPhone,Original tweet,https://t.co/chxruIOUJN
888804989199671297,24440,3970,Twitter for iPhone,Original tweet,https://t.co/L5cCoR2huQ
888554962724278272,18905,3267,Twitter for iPhone,Original tweet,https://t.co/YnYAFCTTiK
888078434458587136,20807,3231,Twitter for iPhone,Original tweet,https://t.co/UibDBnVpvR
887705289381826560,28869,5014,Twitter for iPhone,Original tweet,https://t.co/m7BR4JgDrZ
887517139158093824,44272,10947,Twitter for iPhone,Original tweet,https://t.co/20VrLAA8ba
887473957103951883,65818,16817,Twitter for iPhone,Original tweet,https://t.co/cLyzpcUcMX
887343217045368832,32202,9748,Twitter for iPhone,Original tweet,https://t.co/WZqNqygEyV
887101392804085760,29232,5546,Twitter for iPhone,Original tweet,https://t.co/UgW2xbO7Rg
886983233522544640,33493,7151,Twitter for iPhone,Original tweet,https://t.co/I6oNy0CgiT
886736880519319552,11484,3014,Twitter for iPhone,Original tweet,https://t.co/RipKYZ0T1u
886680336477933568,21441,4155,Twitter for iPhone,Original tweet,https://t.co/BCoWue0abA
886366144734445568,20216,2963,Twitter for iPhone,Original tweet,https://t.co/iIu3AF8IWH
886267009285017600,115,4,Twitter for iPhone,Original tweet,n
886258384151887873,26729,5879,Twitter for iPhone,Original tweet,https://t.co/xZDA9Qsq1O
886054160059072513,0,101,Twitter for iPhone,This is a retweet,This is a retweet
885984800019947520,31154,6293,Twitter for iPhone,Original tweet,https://t.co/lWeeGBBXmE
885528943205470208,34376,5967,Twitter for iPhone,Original tweet,https://t.co/tp1kQ8i9JF
885518971528720385,19561,3479,Twitter for iPhone,Original tweet,https://t.co/gzLHboL7Sk
885311592912609280,0,17287,Twitter for iPhone,This is a retweet,This is a retweet
885167619883638784,20945,4082,Twitter for iPhone,Original tweet,https://t.co/JMU4y341NB
884925521741709313,73899,16894,Twitter for iPhone,Original tweet,https://t.co/MYJvdlNRVa
884876753390489601,26643,5214,Twitter for iPhone,Original tweet,https://t.co/DbNzLkDIxh
884562892145688576,23225,4382,Twitter for iPhone,Original tweet,https://t.co/1r4MFCbCX5
884441805382717440,25846,5301,Twitter for iPhone,Original tweet,https://t.co/JkL9KmUt8X
884247878851493888,69672,18980,Twitter for iPhone,Original tweet,https://t.co/uF3pQ8Wubj
884162670584377345,19490,2779,Twitter for iPhone,Original tweet,https://t.co/KcQj5mNR4m
883838122936631299,20895,3216,Twitter for iPhone,Original tweet,https://t.co/zrf7IQnlHI
883482846933004288,43888,9228,Twitter for iPhone,Original tweet,https://t.co/qjrljjt948
883360690899218434,21670,3454,Twitter for iPhone,Original tweet,https://t.co/vAdjP5ANuJ
883117836046086144,35500,6197,Twitter for iPhone,Original tweet,https://t.co/Se5fZ9wp5E
882992080364220416,22847,3637,Twitter for iPhone,Original tweet,https://t.co/tyER0KpdXj
882762694511734784,27046,4563,Twitter for iPhone,Original tweet,https://t.co/D43I96SlVu
882627270321602560,26712,5654,Twitter for iPhone,Original tweet,https://t.co/KoU1kxPBcn
882268110199369728,42912,10816,Twitter for iPhone,Original tweet,https://t.co/fYP5RlutfA
882045870035918850,28047,4575,Twitter for iPhone,Original tweet,https://t.co/cj0lK9TLUv
881906580714921986,23260,3173,Twitter for iPhone,Original tweet,https://t.co/503CgWbhxQ
881666595344535552,48433,9966,Twitter for iPhone,Original tweet,https://t.co/7CSWCl8I6s
881633300179243008,120,7,Twitter for iPhone,Original tweet,s
881536004380872706,47265,14909,Twitter for iPhone,Original tweet,https://t.co/w1FVZz0JFM
881268444196462592,22177,4894,Twitter for iPhone,Original tweet,https://t.co/J4Q5YjzLH0
880935762899988482,16283,2605,Twitter for iPhone,Original tweet,https://t.co/D0wb1GlKAt
880872448815771648,20361,3568,Twitter for iPhone,Original tweet,https://t.co/1nxJLhk0Sd
880465832366813184,27271,5817,Twitter for iPhone,Original tweet,https://t.co/4VsFysDmiw
880221127280381952,25814,3912,Twitter for iPhone,Original tweet,https://t.co/fUod0tVmvK
880095782870896641,26440,4044,Twitter for iPhone,Original tweet,https://t.co/yxYE3cWcCP
879862464715927552,21374,3257,Twitter for iPhone,Original tweet,https://t.co/Qh5aEkRQm9
879674319642796034,300,10,Twitter for iPhone,Original tweet,d
